Symptom,Remedy,Description,Warning
Cough and Sore Throat,Tea (with licorice and slippery elm),Have throat-coating properties that help reduce irritation.,"Try each remedy individually. Tell your doctor about any herbal remedies or supplements you are taking. Consult doctor if pregnant, breastfeeding or taking prescription medications."
Cough and Sore Throat,Honey,"Its throat-coating properties can soothe sore throats and suppress coughs. Have some on a spoon or stir it into tea. May work just as well for a cough as over-the-counter medicines, helpful for children not old enough for OTCs.","Don’t give honey to an infant or a toddler younger than 1 year old; there’s a small risk of a rare but serious kind of food poisoning that could be dangerous for them. Tell your doctor about any herbal remedies or supplements you are taking. Consult doctor if pregnant, breastfeeding or taking prescription medications. Local honey is not backed by studies for allergy relief."
"Common cold, coughs, and sore throat",Honey and ginger juice mixture,Helps to expectorate mucus.,"For persistent symptoms, make an appointment."
Excessive coughing,Tulsi juice with garlic juice and honey mixture,A teaspoon of this mixture taken once every three hours will treat excessive coughing.,"For persistent symptoms, make an appointment."
Dry cough,Dates boiled in milk,The ultimate dry cough remedy. Boil 6 dates in 1/2 liter of milk for 25 minutes over low heat. Drink three cups a day.,"For persistent symptoms, make an appointment."
Cough,Onion and honey mixture (Ayurveda cough syrup),"Peel and chop six medium onions, add 4 tablespoons of honey, cover, and leave in a water bath over low heat for 2 hours. Strain and take 1 tablespoon every three hours.","For persistent symptoms, make an appointment."
Cough,"Apple cider vinegar, cayenne, cinnamon, & honey","Mix 2 Tbsp of apple cider vinegar in 8 oz hot water. Add sprinkle of cayenne, dash of cinnamon, and 1 Tbsp honey. Stir. Can save a singer's voice.","People with medical conditions, as well as women who are pregnant or nursing, should consult their doctor before trying this remedy."
Cold symptoms (particularly during the first day or two),Echinacea*,"Can reduce the duration of cold symptoms. Available as tea, drops or pills.","Try each remedy individually. Don’t use Echinacea, Elderberry syrup, and Pelargonium all three together. Tell your doctor about any herbal remedies or supplements you are taking. Consult doctor if pregnant, breastfeeding or taking prescription medications."
Colds and Influenza,Elderberry syrup*,"Has antiviral properties, making it helpful for colds and influenza. Follow dosing on the package.","Try each remedy individually. Don’t use Echinacea, Elderberry syrup, and Pelargonium all three together. Tell your doctor about any herbal remedies or supplements you are taking. Consult doctor if pregnant, breastfeeding or taking prescription medications."
Colds (duration and severity),Pelargonium*,A plant used in some natural cold/cough remedies. It shortens the duration and severity of colds.,"Try each remedy individually. Don’t use Echinacea, Elderberry syrup, and Pelargonium all three together. Tell your doctor about any herbal remedies or supplements you are taking. Consult doctor if pregnant, breastfeeding or taking prescription medications."
